,seed,hash,equiv_class
0,200,-32.414239250865975,0
1,201,-10.836004463542693,1
2,202,-24.892868912656265,2
3,203,-25.10008920330365,2
4,204,-32.284487451546596,0
5,205,-32.217754092574054,0
6,206,-19.35918772443393,3
7,207,-32.071455766712994,0
8,208,-18.61043009375271,3
9,209,-32.18318395075575,0
10,210,-17.933265840046083,3
11,211,-32.539531707674875,0
12,212,-18.647891000526094,3
13,213,-18.339890260781402,3
14,214,-32.19802619492701,0
15,215,-11.134479858477182,1
16,216,-11.070661723953783,1
17,217,-18.447946810107908,3
18,218,-31.848518227461813,0
19,219,-18.359887045093043,3
20,220,-18.496890222175416,3
21,221,-17.72431479081401,3
22,222,-18.67072194495444,3
23,223,-31.712022438402734,0
24,224,-10.938162908380601,1
25,225,-32.29490468738686,0
26,226,-18.540818274442145,3
27,227,-17.58059685194715,3
28,228,-10.903773190995855,1
29,229,-11.06766244448208,1
30,230,-25.06080959974131,2
31,231,-32.307259523500214,0
32,232,-18.67711275377004,3
33,233,-25.03017307337407,2
34,234,-17.797093990032547,3
35,235,-18.499742383145446,3
36,236,-17.824873587758034,3
37,237,-24.577936841724256,2
38,238,-11.087442422955338,1
39,239,-25.264227580320533,2
40,240,-18.906627796578007,3
41,241,-32.00337630223201,0
42,242,-19.043970357096757,3
43,243,-18.203223347925487,3
44,244,-11.072567928576738,1
45,245,-25.049592511778034,2
46,246,-11.083381625566524,1
47,247,-18.039012124039115,3
48,248,-24.02640399933461,2
49,249,-18.84027777891874,3
50,250,-17.966660703877288,3
51,251,-18.670362257520544,3
52,252,-18.337461590845074,3
53,253,-11.036696136363975,1
54,254,-32.115109252201414,0
55,255,-18.711060406985688,3
56,256,-24.97568912675642,2
57,257,-25.264891393706133,2
58,258,-24.96658114457415,2
59,259,-32.48767785425096,0
60,260,-24.512598109728035,2
61,261,-32.295999350667984,0
62,262,-11.122314228615675,1
63,263,-10.98693787274545,1
64,264,-32.186445794665794,0
65,265,-11.06683089141547,1
66,266,-24.94416683454176,2
67,267,-18.071992573990777,3
68,268,-24.568779038857855,2
69,269,-10.929248813634933,1
70,270,-17.5582203480407,3
71,271,-25.279819455597572,2
72,272,-18.704077263648937,3
73,273,-10.940246929773688,1
74,274,-18.380251941969988,3
75,275,-24.555859743436145,2
76,276,-24.464863813550046,2
77,277,-25.013206777604317,2
78,278,-19.298347088572736,3
79,279,-24.146857616483203,2
80,280,-24.63796874892881,2
81,281,-18.505330854047553,3
82,282,-24.928798237709003,2
83,283,-32.252132778318305,0
84,284,-17.281462784249072,3
85,285,-10.967626832659596,1
86,286,-32.2812260770228,0
87,287,-32.119390233936514,0
88,288,-18.592442317627437,3
89,289,-18.592810636926295,3
90,290,-32.19947851916205,0
91,291,-18.49753849089604,3
92,292,-18.706240459499384,3
93,293,-11.135367779711697,1
94,294,-23.920359495192535,2
95,295,-24.606957815256415,2
96,296,-24.522713756423315,2
97,297,-18.081435574359404,3
98,298,-10.95821963189995,1
99,299,-32.36635490018661,0
100,300,-18.303015697882678,3
101,301,-10.92962323989693,1
102,302,-10.803089701113858,1
103,303,-24.695461800743324,2
104,304,-25.053622392944014,2
105,305,-10.998503884390441,1
106,306,-18.24970824952943,3
107,307,-17.973860953154023,3
108,308,-17.830612818417567,3
109,309,-18.696687283052192,3
110,310,-10.919026052997955,1
111,311,-18.197125431561446,3
112,312,-31.933400223886295,0
113,313,-18.27293154163643,3
114,314,-18.626933518684503,3
115,315,-17.910510113962616,3
116,316,-32.400033455613105,0
117,317,-18.467824141998626,3
118,318,-24.39472548120233,2
119,319,-18.4421017303261,3
120,320,-24.635232987913056,2
121,321,-18.27201849136113,3
122,322,-32.60898742579761,0
123,323,-11.126760019912496,1
124,324,-24.64327760542186,2
125,325,-18.74072625056706,3
126,326,-24.70676158083212,2
127,327,-10.770001611184309,1
128,328,-24.701525829808595,2
129,329,-32.117323318489625,0
130,330,-18.332756591185213,3
131,331,-18.927026490388236,3
132,332,-18.24791671119125,3
133,333,-18.449629754661117,3
134,334,-18.322196927517926,3
135,335,-18.430407515024797,3
136,336,-32.09568690346248,0
137,337,-32.41582977935531,0
138,338,-10.793408890799327,1
139,339,-10.96245603046884,1
140,340,-18.595628551297164,3
141,341,-24.89433926312154,2
142,342,-10.936489404934273,1
143,343,-24.862973848555413,2
144,344,-18.61102215169548,3
145,345,-10.823337469108868,1
146,346,-32.08459394684327,0
147,347,-18.22119119067738,3
148,348,-18.651499729082097,3
149,349,-18.776011109280454,3
150,350,-18.362084537328315,3
151,351,-18.366954259848377,3
152,352,-11.038570093015204,1
153,353,-17.772382663105848,3
154,354,-18.709971316231105,3
155,355,-24.552618242791056,2
156,356,-18.20295280852486,3
157,357,-18.24405299110179,3
158,358,-11.085727636001945,1
159,359,-24.261660527319233,2
160,360,-18.22660272693534,3
161,361,-24.450321792454286,2
162,362,-11.019641876725878,1
163,363,-18.00092492923089,3
164,364,-18.51311810920943,3
