,model_path,seed
0,results/models/policy_gradient__2020-11-24_12-58-20,100.0
1,results/models/policy_gradient__2020-11-24_14-15-52,132.0
2,results/models/policy_gradient__2020-11-24_16-00-28,164.0
3,results/models/policy_gradient__2020-11-24_19-23-26,196.0
4,results/models/policy_gradient__2020-11-24_22-03-03,228.0
5,results/models/policy_gradient__2020-11-24_23-04-40,260.0
6,results/models/policy_gradient__2020-11-25_00-04-12,292.0
7,results/models/policy_gradient__2020-11-25_01-02-03,324.0
8,results/models/policy_gradient__2020-11-25_02-03-23,356.0
9,results/models/policy_gradient__2020-11-25_03-05-34,388.0
10,results/models/policy_gradient__2020-11-24_12-58-20,100.0
11,results/models/policy_gradient__2020-11-24_14-15-52,132.0
12,results/models/policy_gradient__2020-11-24_16-00-28,164.0
13,results/models/policy_gradient__2020-11-24_19-23-26,196.0
14,results/models/policy_gradient__2020-11-24_22-03-03,228.0
15,results/models/policy_gradient__2020-11-24_23-04-40,260.0
16,results/models/policy_gradient__2020-11-25_00-04-12,292.0
17,results/models/policy_gradient__2020-11-25_01-02-03,324.0
18,results/models/policy_gradient__2020-11-25_02-03-23,356.0
19,results/models/policy_gradient__2020-11-25_03-05-34,388.0
20,results/models/policy_gradient__2020-11-24_12-58-20,100.0
21,results/models/policy_gradient__2020-11-24_14-15-52,132.0
22,results/models/policy_gradient__2020-11-24_16-00-28,164.0
23,results/models/policy_gradient__2020-11-24_19-23-26,196.0
24,results/models/policy_gradient__2020-11-24_22-03-03,228.0
25,results/models/policy_gradient__2020-11-24_23-04-40,260.0
26,results/models/policy_gradient__2020-11-25_00-04-12,292.0
27,results/models/policy_gradient__2020-11-25_01-02-03,324.0
28,results/models/policy_gradient__2020-11-25_02-03-23,356.0
29,results/models/policy_gradient__2020-11-25_03-05-34,388.0
30,results/models/policy_gradient__2020-11-24_12-58-20,100.0
31,results/models/policy_gradient__2020-11-24_14-15-52,132.0
32,results/models/policy_gradient__2020-11-24_16-00-28,164.0
33,results/models/policy_gradient__2020-11-24_19-23-26,196.0
34,results/models/policy_gradient__2020-11-24_22-03-03,228.0
35,results/models/policy_gradient__2020-11-24_23-04-40,260.0
36,results/models/policy_gradient__2020-11-25_00-04-12,292.0
37,results/models/policy_gradient__2020-11-25_01-02-03,324.0
38,results/models/policy_gradient__2020-11-25_02-03-23,356.0
39,results/models/policy_gradient__2020-11-25_03-05-34,388.0
40,results/models/policy_gradient__2020-11-24_12-58-20,100.0
41,results/models/policy_gradient__2020-11-24_14-15-52,132.0
42,results/models/policy_gradient__2020-11-24_16-00-28,164.0
43,results/models/policy_gradient__2020-11-24_19-23-26,196.0
44,results/models/policy_gradient__2020-11-24_22-03-03,228.0
45,results/models/policy_gradient__2020-11-24_23-04-40,260.0
46,results/models/policy_gradient__2020-11-25_00-04-12,292.0
47,results/models/policy_gradient__2020-11-25_01-02-03,324.0
48,results/models/policy_gradient__2020-11-25_02-03-23,356.0
49,results/models/policy_gradient__2020-11-25_03-05-34,388.0
50,results/models/policy_gradient__2020-11-24_12-58-20,100.0
51,results/models/policy_gradient__2020-11-24_14-15-52,132.0
52,results/models/policy_gradient__2020-11-24_16-00-28,164.0
53,results/models/policy_gradient__2020-11-24_19-23-26,196.0
54,results/models/policy_gradient__2020-11-24_22-03-03,228.0
55,results/models/policy_gradient__2020-11-24_23-04-40,260.0
56,results/models/policy_gradient__2020-11-25_00-04-12,292.0
57,results/models/policy_gradient__2020-11-25_01-02-03,324.0
58,results/models/policy_gradient__2020-11-25_02-03-23,356.0
59,results/models/policy_gradient__2020-11-25_03-05-34,388.0
60,results/models/policy_gradient__2020-11-24_12-58-20,100.0
61,results/models/policy_gradient__2020-11-24_14-15-52,132.0
62,results/models/policy_gradient__2020-11-24_16-00-28,164.0
63,results/models/policy_gradient__2020-11-24_19-23-26,196.0
64,results/models/policy_gradient__2020-11-24_22-03-03,228.0
65,results/models/policy_gradient__2020-11-24_23-04-40,260.0
66,results/models/policy_gradient__2020-11-25_00-04-12,292.0
67,results/models/policy_gradient__2020-11-25_01-02-03,324.0
68,results/models/policy_gradient__2020-11-25_02-03-23,356.0
69,results/models/policy_gradient__2020-11-25_03-05-34,388.0
70,results/models/policy_gradient__2020-11-24_12-58-20,100.0
71,results/models/policy_gradient__2020-11-24_14-15-52,132.0
72,results/models/policy_gradient__2020-11-24_16-00-28,164.0
73,results/models/policy_gradient__2020-11-24_19-23-26,196.0
74,results/models/policy_gradient__2020-11-24_22-03-03,228.0
75,results/models/policy_gradient__2020-11-24_23-04-40,260.0
76,results/models/policy_gradient__2020-11-25_00-04-12,292.0
77,results/models/policy_gradient__2020-11-25_01-02-03,324.0
78,results/models/policy_gradient__2020-11-25_02-03-23,356.0
79,results/models/policy_gradient__2020-11-25_03-05-34,388.0
80,results/models/policy_gradient__2020-11-24_12-58-20,100.0
81,results/models/policy_gradient__2020-11-24_14-15-52,132.0
82,results/models/policy_gradient__2020-11-24_16-00-28,164.0
